ManuscriptID,Journal,Date,Study-Type,Model-Type,Prediction-Type,1,2,3a,3b,4a,4b,5a,5b,5c,6a,6b,7a,7b,8,9,10a,10b,10c,10d,10e,11,12,13a,13b,13c,14a,14b,15a,15b,16,18,19a,19b,20,21,22
1,1,Aug-21,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,1,1,N/A,1,1,1,0
2,1,Jul-21,1,DNN,1,0,0,0,1,0,0,0,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,0,0,N/A,1,1,1,0
3,1,Jul-21,4,LR,1,0,0,0,1,0,0,0,1,N/A,0,N/A,1,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,1,1,1,1,1
4,1,Jul-21,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,1,0
5,1,Jun-21,1,SVM,1,0,0,0,0,1,0,1,0,N/A,0,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,0,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
6,1,Jun-21,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,0,1,N/A,1,0,0,0
7,1,May-21,1,Multilogistic and Multinomial LR,2,0,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,0
8,1,Apr-21,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
9,1,Mar-21,4,Lasso,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,1,1,0
10,1,Feb-21,3,LR,2,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
11,1,Feb-21,1,Elastic net algorithm (regularized generalized linear model),2,0,0,0,1,1,1,1,0,N/A,1,N/A,0,N/A,1,1,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
12,1,Dec-20,3,LR,2,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1
13,1,Dec-20,1,XGB,2,0,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,1,N/A,0,N/A,0,0,0,1,N/A,1,1,1,0
14,1,Dec-20,1,LDA,2,0,0,0,1,1,0,1,0,N/A,0,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,0,1,0
15,1,Nov-20,1,Cox,2,0,0,0,1,1,1,0,1,N/A,1,N/A,1,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
16,1,Oct-20,1,Cox,2,0,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,0,1,0
17,1,Oct-20,4,Bayesian network supervised learning,2,1,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,1,1,N/A,N/A,1,1,0,1,1,N/A,0,1,1,1,0,1,1,1,0
18,1,Oct-20,4,NLP,1,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,1,0,0
19,1,Sep-20,1,RF,2,0,0,0,0,1,1,1,1,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,N/A,0,N/A,0,1,0,1,N/A,1,1,1,0
20,1,Sep-20,2,DNN,1,0,0,0,0,1,1,1,0,N/A,1,N/A,0,N/A,1,0,N/A,N/A,0,0,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,0,1,0,1,1,0,0
21,1,Aug-20,4,Cox,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,1,1,N/A,N/A,1,0,0,1,1,N/A,0,0,1,1,1,1,1,1,0
22,1,Jul-20,4,LR,1,0,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,1,1,N/A,N/A,1,1,0,1,1,N/A,1,0,1,1,1,1,1,1,0
23,1,Dec-19,1,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
24,1,Dec-19,1,LR,2,1,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,1,N/A,1,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,1,0,N/A,1,1,1,0
25,1,Nov-19,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,1,1,0,1,N/A,1,1,1,0
26,1,Nov-19,1,Cox,2,0,0,1,1,1,1,1,0,N/A,1,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,1,N/A,1,N/A,0,0,0,1,N/A,1,1,0,0
27,1,Nov-19,1,LR,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,1,1,1
28,1,Sep-19,1,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,0,0,0
29,1,Sep-19,1,DNN,1,0,0,0,1,0,1,1,1,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
30,1,Sep-19,1,LR,2,0,1,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,1,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,1
31,1,Jul-19,4,LR,1,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,0,0,N/A,N/A,0,1,1,1,0,N/A,0,0,0,1,1,1,1,1,0
32,1,Jul-19,1,LR,2,0,0,0,1,0,1,1,0,N/A,1,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
33,1,Jun-19,2,LR,2,1,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,N/A,N/A,0,0,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,1,1,1,1,1,0
34,1,May-19,4,LR,2,0,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,0,1,1,0,0,1,N/A,N/A,0,1,0,1,0,N/A,0,1,1,1,1,1,1,1,0
35,1,Apr-19,1,GAM,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,1,1,N/A,1,1,1,0
36,1,Feb-19,4,LR,1,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,0,1,0
37,1,Jan-19,4,Cox,2,0,0,1,1,0,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,1,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,0,1,1,1,0
